Date,UserName,Comment,Like
2025-06-22T13:14:12Z,@Hún5561,"Gua lebih kaget elu bilang elu umur 23, bjir tua dah gua 27 😂😂",0
2025-06-22T06:49:08Z,@harpinpardomuan5553,Ga seburuk itu si filmny,1
2025-06-22T17:51:31Z,@raidenshougun4718,Ngga seburuk itu Dan ngga se bagus itu juga,1
2025-06-20T14:41:14Z,@shemphakerrumbay,Gua gak sudi nonton pasti ancur sama seperti Film Oppenheimer dalam sejarah gua ngorok choy…. anjir.. sampai di videoin (kondisi gelap bioskop) sama anak gua….,0
2025-06-19T17:58:04Z,@pelangidilembahsunyi597,Jujur Gue Liat Abizar Kurang Respect Gayanya tengil...<br>Agak Sombong..<br>Apalagi Melihat Background Ortunya... Sangat Di Sayangkan...<br><br>Gk Profesional Dan Gk Serius..<br>Ngerasa Udah Super Start...<br>Jadi Suka² Hati...,1
2025-06-19T12:13:10Z,@ejiwewe239,udah 1 juta viewes aja nih wkwkwk,2
2025-06-18T09:06:42Z,@BangAan-ge1pu,Pecinta rai plastik mana suara ny😂,1
2025-06-17T08:09:13Z,@ahmatulum4814,"Ngapain juga nonton dan ngefans k drama, mereka golongan para rasis!!!",1
2025-06-17T06:37:08Z,@AndanteGutur,"yang begonya juga, salah satu pemeran yang CEWEK itu juga bilang. Kalau mereka gak ngikutin versi dramanya tapi webtoonya. Gokil bre, makin blunder. Ya gimana ya, kerjaan Ha-ri, di versi webtoon aja udah beda dan dramanya. Dan film ini ngikutin versi dramanya. tapi malah bilang mereka cuma ikutin versi webtoon dan KATANYA CUMA BACA WEBTOONNYA AJA. BOONG BOONG BANGET.",2
2025-06-17T05:18:08Z,@elisazahra185,"Flem in sebener nya bagus, untuk netizen biasa, tapi untuk yg sok pintar pasti bnyk di permsalhin",1
2025-06-17T05:16:52Z,@elisazahra185,"Goblok klo harus sma yg versi korea, jgn nonton yg indo lah,,",2
2025-06-17T01:30:33Z,@rizkyfals1422,Tapi jujur film nya seru weh,2
2025-06-16T19:40:13Z,@ikbalonel6999,Kalo menurut gua sii cocok banget abidzar👍<br>Cocok main film jadi peran mekanik pakistan✅,1
2025-06-16T09:53:24Z,@black.spade3286,Kasian sama pemain lain yang bener bener niat,1
2025-06-15T00:23:19Z,@aqshalanzagi6116,Aduhhhhhh,1
2025-06-14T15:28:18Z,@vlosov,"Coba kalo yg jadi bossnya jefri nichol, dan asistennya yesaya abraham, pasti enak ditonton bgt ni film. Bagian castingnya siapa sih ni falcon😆",1
2025-06-13T16:30:09Z,@ametrinesandhya,"jujur, abidzar jelek bgt😢",1
2025-06-13T02:02:41Z,@wanyuslaini9023,Ejen ali movie 2,1
2025-06-12T01:40:54Z,@barrysalaki9555,"Gw sangat setuju dengan statement lu bro, lu ga bisa kontrol masyarakat atau opini masyarakat, jadi yang bisa lu kontrol adalah omongan sendiri",1
2025-06-09T08:38:01Z,@Flowernify,"Gw udah bilang belum ys, betapa konyolnya si PH ini. Artisnya blunder, tapi diem aja. Udah jadi masalah, baru koar-koar bilang adaptasi dari manhwa. Padahal scenenya tiplek ketiplek sama drama. Mantap",2
2025-06-09T02:36:52Z,@kopat_id,Rangkum merangkum harus tengok iq7 tu,1
2025-06-07T13:30:58Z,@Honeysee-w3h,Bro tidak tahu grafik blue lock season 2,0
2025-06-14T14:12:56Z,@Rio-p6v,"Paling enggak episode terakhirnya bagus animasinya, jauh lebih bagus gambaran di komiknya sih",2
2025-06-07T06:19:19Z,@aril00s,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=399"">6:39</a> 🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪 👨🏻👨🏻👨🏻👨🏻👨🏻",1
2025-06-05T08:55:47Z,@abdansyakuro6861,"Harusnya kalo idealis dengan ketidaksukaan meniru karakter yang sudah ada, dan ingin pake karakter sendiri. Pertama, gausah ambil jobnya, kedua, mininal jangan film yang karakternya dah pakem tentang kepribadian, kaya yang dah terjelaskan di novel, film, atau apapun. Abidzar ini type yang mirip-mirip, Dwyne Johnson atau Vin Diessel, karakternya ga jauh dari dirinya sendiri semua, tapi mereka cerdasnya, memilih-milih film yang tidak membuat dia efforts acting yang pribadinya jauh dari karakter aslinya, ah ini kaya gua nih, ok, ini keknya sulit kalo gua disuruh menye-menye, ga mau ah.. Dengan idealis seperti itu, jobnya juga mengerucut, atau tipis, jadi mereka akan memutar otak, dengan membuat filmnya sendiri, atau mendapat izin khusus untuk merecoki pembuat skrip filmnya. Tapi mereka, ada lucky-nya, dapet film bagus, berpengaruh, jadi bisa banyak minta, dan idealisnya lebih keluar, mereka kalo ga cocok, ga segan untuk menolak. Bahkan francise sukses fast&amp;furious, vin sempet out, karena merasa tidak cocok dan cukup, tapi malah tetep dilanjutin, dan minta dia jadi cameo, tapi dia punya permintaan juga hanya untuk sekedar muncul sebentar, itu tipe idealis yang harus ditiru abidzar. Kalo mau bawain karakter yang benar-benar &#39;menurutnya&#39;, pilihlah film yang sesuai agar cocok, jangan diajak, iya-iya aja, dan berniat ingin mengkarakterisasi dirinya sendiri. Dan intinya, hati-hatilah, dengan konsumen, jangan nantangin konsumen ketika kamu menjual, kamu jual sesuatu yang menarikpun, mereka tidak akan membeli.",8
2025-06-04T16:35:24Z,@KecoaBerkilau,Tutorial menghancurkan karier wkwk,0
2025-06-04T03:55:50Z,@frizkiphotovideo10,kasian tim dan investor nya,0
2025-06-03T09:53:41Z,@Sh1RoeNii,"Kayaknya dia gak tau tentang Netflix Witcher, writer series Witcher lebih milih buang buku novel Witcher dan malah bikin semua karakternya sendiri sampe bikin aktor utamanya terhina pas main jadi karakter yang dia sangat sayangin.",0
2025-06-03T01:27:25Z,@raflistar-p8z,Para penggemar k drama tersinggung karena serial favoritnya diadaptasi dengan sangat kurang memuaskan,1
2025-05-31T07:08:40Z,@Jeqonia,"Jir, 6/10?? Gw aja 4/10",0
2025-05-31T04:10:46Z,@isalimam9796,Wkwk itu orang tolol . <br>Alasan live acen itu jadi masuk jadi karakter anime nya,0
2025-05-30T13:42:18Z,@Gabb_Samvelll,shock baca notif YouTube bang timo walkout,0
2025-05-29T14:19:43Z,@fahmi2770,"oke baiklah kesimpulan nya selain ketololan abidzar ini, mohon para netizen berpikir lah sebelum menyebarkan suatu hal ke sosial media, kalau sampai si abidzar ini marah walau konsekuensi dia saat menjadi aktor atau public figure emang seperi itu, berarti emang ada orang orang yang berkomentar berlebihan terkait abidzar, sekian pendapat saya",2
2025-05-26T08:06:40Z,@Omatsurii,pangsa pasar bukan mangsa pasar,1
2025-05-25T02:04:14Z,@RiskaW6064,Buset kalah dari Snow White yg dapet 1.7,1
2025-05-24T06:20:56Z,@gatauah5211,"23 emang masih labi2nya ego, masuk 29 ke atas baru nyadar",2
2025-05-23T14:43:33Z,@muhammadlukmanhakimm,"bener, awal awal cringe parah anjir, pengen gw tutup nih laptop cok, gak kuat gw awal awal😂",1
2025-05-16T02:46:03Z,@BohayGemoy-r9f,"ndustri cok, santai aja.<br>dia udah dapet duitnya, dan itu semua untuk membangun persona dia buat Film selanjutnya",0
2025-05-13T13:54:16Z,@AlfonsoasiktaopArimbamor,Yah kalah sama ranting anak Raikage 😂,0
2025-05-13T02:49:29Z,@droidmiskin,Mantap,0
2025-05-12T16:17:27Z,@MdfLikhun,kalo kimetsu no yaiba kapan bang tayang di bioskop indo?,0
2025-05-10T15:15:32Z,@KazumaHokuto,Sebenernya abidzar kurang cocok meranin kang tae moo. Vibesnya lebih cocok sama karakter anak sekolahan bad boy di film² remaja. <br><br>Ini gw kasih request kalo sewaktu² a business proposal mau tayang ulang tapi aktor utamanya diganti :<br>1. Reza Rahadian<br>2. Abimana Aryasatya<br>3. Fachri Albar<br>4. Arya Saloka<br>5. Morgan Oey<br>6. Herjunot Ali<br>7. Nicholas Saputra<br>8. Adipati Dolken<br>9. Darius Sinathrya<br>10. Mike Lewis<br>11. Nino Fernandez<br><br>Vibes mereka beneran muka² cogan mateng dan berduit😂😂😂😂<br><br>Yang tau silahkan tambahin😂😂😂😂,0
2025-05-08T15:38:40Z,@Nanasparts,"salah yang casting ngga sih haha, kok bisa? kasihan aktor yang lainnya.",0
2025-05-07T23:55:49Z,@KardoNainggolan-c9k,"Keseringan adaptasi bikin jd kurang imajinatif,kurang kreatif,taunya cm nyari cuan secara singkat.",0
2025-05-06T08:43:33Z,@its_treasureland,p,0
2025-05-03T14:25:02Z,@iqramSha,Kebanyakan drama indo kang copas drama Korea 😂,2
2025-05-09T05:16:32Z,@emmaegp98,"Kasih contoh donk, kasih judulnya gitu",0
2025-06-03T16:52:26Z,@Attitude-v5b,"Orang tolol mana tau arti adaptasi, 😂",0
2025-05-02T10:09:23Z,@ariefrakhman3807,KOREA SAMPAH 😂,0
2025-05-02T01:31:05Z,@joddyraz26,Udah tau fans nya fanatik malah lu nyari masalah 😂,1
2025-05-02T01:27:51Z,@joddyraz26,Wkwkw malah nyari masalah sama kpopers/ drakor lovers 😂😂,0
2025-04-30T12:29:37Z,@rightb6398,Opening mantab banget wkowkow,0
2025-04-30T12:29:27Z,@rightb6398,Ahahaha,0
2025-04-28T11:33:11Z,@vilibra,kelas,0
2025-04-28T03:14:30Z,@IciQiwir,"Abidzar berfikir ia adalah Walter dengan pride dan ego nya, sama² ga ngerti posisi dan cmn perlu kerja doang padahal lingkungan kerja nya udh enak",0
2025-04-27T03:54:40Z,@andrajanuar9507,Bro pikir dia Robert Downey junior,0
2025-04-26T14:34:34Z,@konkuruseyyi,"gak berlaku di Indo saja, contohnya snow white. artisnya mlethe kayak dia",0
2025-04-25T17:18:54Z,@rafliapriansyah9684,Marketingnya menangis pas mereka ngomong gitu. &#39;bangs*t lah gua udh cape2 promosi sana sini malah hancur karena congor tuh org&#39;,0
2025-04-25T17:02:52Z,@NxTProjectV2,ehh judul lagu openingnya namanya apa ya?,0
2025-04-25T06:13:09Z,@wongsonara,Palkon 😢😢😢😂😂,0
2025-04-24T08:26:58Z,@MuhamadRafflyApriansyah,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1"">0:01</a>",0
2025-04-24T01:14:11Z,@chuuninoob5366,"Serius, gw gak nonton drakornya tapi statementnya di pers konferensi asli trigger beut. Bayangin penontonnya.",0
2025-04-23T20:38:25Z,@arieboy8977,"Betullllll gara2 MULUT aktornya yg nggak di saring+g hati2 didepan MEDIA n g mikirin dampaknya.Filmnya jdi Banyak di Hujaaat.Kasihan para Crew,pemain dll yg terlibat n bkerja <a href=""http://keras.eh/"">keras.Eh</a> malah di hujattttt abis.....gimna prasaan pmain2 asli Koreanya klo tau.Pasti lbih sdih😢😢😢😢",0
2025-04-23T14:06:53Z,@basstian3461,"Pas mereka ngmong &quot;kalo gk mau nnton gpp&quot;, disitu pasti muntah semua mkanan yg udah dimakan seharian oleh pak sutradara dan produser film!! <br><br>Sambil dalam hati berkata, &quot;jianccccookkkk!!!&quot;😂😂😂",0
2025-04-21T11:12:47Z,@rendyzhang8099,"Congor nya kebablasan kayak nya 😂, koq berasa kayak dia dari aŵal mau nunjukin Film nya bakal sukses meskipun ga mendalami karakter utama nya.. aneh banget sih sumpah 😅",0
2025-04-20T09:51:56Z,@Heartstreaks23,6.900 aja masi kebanyakan awokawokawok,1
2025-04-20T09:17:13Z,@zaza_-st5ku,-Color gradingnya model dark knight<br>- wajah aktornya  kurang,0
2025-04-20T05:21:46Z,@YoudeRizee,Trgetmya bukan cuma Fans kpopnya tapi yg non kpopers juga makanya dibuat versi indonya agar non kpopers juga tertarik,0
2025-04-20T05:18:54Z,@YoudeRizee,Sbnrnya bukan cuma fans Kpop atau jejepangan yg tidak dimacam²min tapi fans apapun klu Fanatik yah Fatal klu gk sesuai,0
2025-04-19T19:38:50Z,@divazkamartiawan8755,jaketnya cakep banget bang :(,0
2025-04-19T15:18:25Z,@NadaRiah-l8h,Lagian claimnya adaptasi webtoon nya tapi judulnya jiplak drakornya &quot;A BUSINESS PROPOSAL&quot;.<br>Kalo mau konsisten bilang ini adaptasi webtoon ya judulin aja &quot;THE OFFICE BLIND DATE&quot;.,1
2025-04-17T00:00:32Z,@rifaldyreborn_8862,Kenapa bawa bawa fans bola bang? 🤨,0
2025-04-16T03:40:02Z,@encikalifnajmi3745,"Lagi lagi adegan cium, lagi lagi adegan 18sx 😂",0
2025-04-16T02:09:43Z,@Nexus_rael,Gua ke sini Karna abidzar somasi org yg komentar negatif ke dia,0
2025-04-15T17:58:04Z,@larksaphellion9394,"snow white nya indonesia ini, ancur gara2 1 orang yg arogan",0
2025-04-15T07:35:57Z,@LilyLah-x4f,"Dan yg bikin nambah kacau sbnrnya pemeran pendukungnya pun pd ikutan blunder. Pake ngmng “ ini adaptasi dari webtoon ya bkn kdramanya” yg mana judul film mrka sama dgn judul kdrama bkn webtoon. Sok ngerti, ga cari tau dlu, dan dgn angkuh ngaku “ga nntn kdrama dan ga baca webtoonnya” woww 😂😅",1
2025-04-15T05:14:18Z,@fitrafya7715,harus ny mreka belajar dari Maya Kitazima tokoh utama dari komik Topeng Kaca lah😁,0
2025-04-15T05:08:52Z,@samm13xyz,Richel Jegler versi Lokal,0
2025-04-15T01:55:47Z,@lian1839,Ke 4 harusnya fans fuji bang,0
2025-04-14T03:50:48Z,@HOLIC727,BAYANGIN KALAU REZA RAHARDIAN DISURUH PENARIN ALM PAK HABIBIE TERUS REZA RAHARDIAN BILANG &quot;SAYA AKAN MEMBUAT KARAKTER SENDIRI&quot; <br>😂😂😂😂😂😂,5
2025-04-13T21:57:39Z,@anjarswandika4067,Next film harus di remake jadi busines revisi😮😮,0
2025-04-13T12:05:10Z,@jesiccayolanda4387,"Mnurutku mereka pilih Ariel sama Abizar itu karna pengen buat yang melokal aja gitu bg, yang Indonesia bgt mukanya. Nah tp aku bingung nih di sini, kalo kita buat film adaptasi dari negara org lain itu boleh kita ubah atau ga boleh diubah ya? Jadi kalo dikorea berkulit putih ya di adaptasi kita hrs yg berkulit putih juga? Aku blm tau soal ilmu perfilm an ini soalnya😔 pengen tauuu bgt, yg sekolah filmm, mnurutmu gimana? Blh di spill kah?",0
2025-04-13T09:38:00Z,@restusyaputra4296,"Tai banget ini orang kalo ngomong, tpi suka sii 😂",0
2025-04-13T04:27:36Z,@p123kainonanora,KESOMBONGAN KRN MERASA ANAK PEMUKA AGAMA,0
2025-04-12T22:15:23Z,@zgdx_smiling27,Aktor sok&quot;an awkwkwkwk kena batunya sok keras sihhh dan anehnya dia yakinn dengan mengubah sesuatu versi dia kemudian yakin akan delusinya bahwa dia akan menghasilkan sesuatu dari itu wkwkw lawak kali sok yakin bgt kalau dia akan wah gt wkwkw bro lupa dia di Indonesia wkwkw,0
2025-04-12T17:48:56Z,@ANDALAS2007,"mungkin dia udah ngerasa SUPEERRR STARR, yang yakin aktingnya KELASSS BANGETT. ampass",0
