Comment,Cleaned_Comment
Gua gak sudi nonton pasti ancur sama seperti Film Oppenheimer dalam sejarah gua ngorok choy…. anjir.. sampai di videoin (kondisi gelap bioskop) sama anak gua….,sudi ancur oppenheimer sejarah ngorok choy anjir videoin kondisi gelap bioskop anak
Jujur Gue Liat Abizar Kurang Respect Gayanya tengil...<br>Agak Sombong..<br>Apalagi Melihat Background Ortunya... Sangat Di Sayangkan...<br><br>Gk Profesional Dan Gk Serius..<br>Ngerasa Udah Super Start...<br>Jadi Suka² Hati...,jujur liat abizar respect gayanya tengilagak sombongapalagi background ortunya sayangkangk profesional seriusngerasa super startjadi suka hati
udah 1 juta viewes aja nih wkwkwk,1 juta viewes nih wkwkwk
Pecinta rai plastik mana suara ny😂,pecinta rai plastik suara ny
"Ngapain juga nonton dan ngefans k drama, mereka golongan para rasis!!!",ngapain ngefans k drama golongan rasis
"yang begonya juga, salah satu pemeran yang CEWEK itu juga bilang. Kalau mereka gak ngikutin versi dramanya tapi webtoonya. Gokil bre, makin blunder. Ya gimana ya, kerjaan Ha-ri, di versi webtoon aja udah beda dan dramanya. Dan film ini ngikutin versi dramanya. tapi malah bilang mereka cuma ikutin versi webtoon dan KATANYA CUMA BACA WEBTOONNYA AJA. BOONG BOONG BANGET.",begonya salah pemeran cewek ngikutin versi dramanya webtoonya gokil bre blunder gimana kerjaan versi webtoon beda dramanya ngikutin versi dramanya ikutin versi webtoon baca webtoonnya boong boong
"Flem in sebener nya bagus, untuk netizen biasa, tapi untuk yg sok pintar pasti bnyk di permsalhin",flem in sebener bagus netizen sok pintar bnyk permsalhin
"Goblok klo harus sma yg versi korea, jgn nonton yg indo lah,,",goblok sma versi korea jgn indo
Tapi jujur film nya seru weh,jujur seru weh
Kalo menurut gua sii cocok banget abidzar👍<br>Cocok main film jadi peran mekanik pakistan✅,sii cocok abidzarcocok main peran mekanik pakistan
Kasian sama pemain lain yang bener bener niat,kasian pemain bener bener niat
Aduhhhhhh,aduh
"Coba kalo yg jadi bossnya jefri nichol, dan asistennya yesaya abraham, pasti enak ditonton bgt ni film. Bagian castingnya siapa sih ni falcon😆",coba bossnya jefri nichol asistennya yesaya abraham enak ditonton ni castingnya ni falcon
"jujur, abidzar jelek bgt😢",jujur jelek
Ejen ali movie 2,ejen ali movie 2
"Gw sangat setuju dengan statement lu bro, lu ga bisa kontrol masyarakat atau opini masyarakat, jadi yang bisa lu kontrol adalah omongan sendiri",setuju statement bro kontrol masyarakat opini masyarakat kontrol omongan
"Gw udah bilang belum ys, betapa konyolnya si PH ini. Artisnya blunder, tapi diem aja. Udah jadi masalah, baru koar-koar bilang adaptasi dari manhwa. Padahal scenenya tiplek ketiplek sama drama. Mantap",ys betapa konyolnya ph artisnya blunder diem koarkoar adaptasi manhwa scenenya tiplek ketiplek drama mantap
Rangkum merangkum harus tengok iq7 tu,rangkum merangkum tengok iq7 tu
Bro tidak tahu grafik blue lock season 2,bro grafik blue lock season 2
"Paling enggak episode terakhirnya bagus animasinya, jauh lebih bagus gambaran di komiknya sih",episode terakhirnya bagus animasinya bagus gambaran komiknya
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=399"">6:39</a> 🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪 👨🏻👨🏻👨🏻👨🏻👨🏻",639
"Harusnya kalo idealis dengan ketidaksukaan meniru karakter yang sudah ada, dan ingin pake karakter sendiri. Pertama, gausah ambil jobnya, kedua, mininal jangan film yang karakternya dah pakem tentang kepribadian, kaya yang dah terjelaskan di novel, film, atau apapun. Abidzar ini type yang mirip-mirip, Dwyne Johnson atau Vin Diessel, karakternya ga jauh dari dirinya sendiri semua, tapi mereka cerdasnya, memilih-milih film yang tidak membuat dia efforts acting yang pribadinya jauh dari karakter aslinya, ah ini kaya gua nih, ok, ini keknya sulit kalo gua disuruh menye-menye, ga mau ah.. Dengan idealis seperti itu, jobnya juga mengerucut, atau tipis, jadi mereka akan memutar otak, dengan membuat filmnya sendiri, atau mendapat izin khusus untuk merecoki pembuat skrip filmnya. Tapi mereka, ada lucky-nya, dapet film bagus, berpengaruh, jadi bisa banyak minta, dan idealisnya lebih keluar, mereka kalo ga cocok, ga segan untuk menolak. Bahkan francise sukses fast&amp;furious, vin sempet out, karena merasa tidak cocok dan cukup, tapi malah tetep dilanjutin, dan minta dia jadi cameo, tapi dia punya permintaan juga hanya untuk sekedar muncul sebentar, itu tipe idealis yang harus ditiru abidzar. Kalo mau bawain karakter yang benar-benar &#39;menurutnya&#39;, pilihlah film yang sesuai agar cocok, jangan diajak, iya-iya aja, dan berniat ingin mengkarakterisasi dirinya sendiri. Dan intinya, hati-hatilah, dengan konsumen, jangan nantangin konsumen ketika kamu menjual, kamu jual sesuatu yang menarikpun, mereka tidak akan membeli.",idealis ketidaksukaan meniru pake gausah ambil jobnya mininal karakternya dah pakem kepribadian kaya dah terjelaskan novel apapun type miripmirip dwyne johnson vin diessel karakternya cerdasnya memilihmilih efforts acting pribadinya aslinya ah kaya nih ok keknya sulit disuruh menyemenye ah idealis jobnya mengerucut tipis memutar otak filmnya izin khusus merecoki pembuat skrip filmnya luckynya dapet bagus berpengaruh idealisnya cocok segan menolak francise sukses fastfurious vin sempet out cocok tetep dilanjutin cameo permintaan sekedar muncul sebentar tipe idealis ditiru bawain benarbenar menurutnya pilihlah sesuai cocok diajak iyaiya berniat mengkarakterisasi intinya hatihatilah konsumen nantangin konsumen menjual jual menarikpun membeli
Tutorial menghancurkan karier wkwk,tutorial menghancurkan karier wkwk
kasian tim dan investor nya,kasian tim investor
"Kayaknya dia gak tau tentang Netflix Witcher, writer series Witcher lebih milih buang buku novel Witcher dan malah bikin semua karakternya sendiri sampe bikin aktor utamanya terhina pas main jadi karakter yang dia sangat sayangin.",kayaknya netflix witcher writer series witcher milih buang buku novel witcher karakternya sampe utamanya terhina pas main sayangin
Para penggemar k drama tersinggung karena serial favoritnya diadaptasi dengan sangat kurang memuaskan,penggemar k drama tersinggung serial favoritnya diadaptasi memuaskan
"Jir, 6/10?? Gw aja 4/10",jir 610 410
Wkwk itu orang tolol . <br>Alasan live acen itu jadi masuk jadi karakter anime nya,wkwk tolol alasan live acen masuk anime
shock baca notif YouTube bang timo walkout,shock baca notif youtube timo walkout
"oke baiklah kesimpulan nya selain ketololan abidzar ini, mohon para netizen berpikir lah sebelum menyebarkan suatu hal ke sosial media, kalau sampai si abidzar ini marah walau konsekuensi dia saat menjadi aktor atau public figure emang seperi itu, berarti emang ada orang orang yang berkomentar berlebihan terkait abidzar, sekian pendapat saya",oke baiklah kesimpulan ketololan mohon netizen berpikir menyebarkan sosial media marah konsekuensi public figure seperi berkomentar terkait sekian pendapat
pangsa pasar bukan mangsa pasar,pangsa pasar mangsa pasar
Buset kalah dari Snow White yg dapet 1.7,buset kalah snow white dapet 17
"23 emang masih labi2nya ego, masuk 29 ke atas baru nyadar",23 labi2nya ego masuk 29 nyadar
"bener, awal awal cringe parah anjir, pengen gw tutup nih laptop cok, gak kuat gw awal awal😂",bener cringe parah anjir pengen tutup nih laptop cok kuat
"ndustri cok, santai aja.<br>dia udah dapet duitnya, dan itu semua untuk membangun persona dia buat Film selanjutnya",ndustri cok santai ajadia dapet duitnya membangun persona
Yah kalah sama ranting anak Raikage 😂,yah kalah ranting anak raikage
Mantap,mantap
kalo kimetsu no yaiba kapan bang tayang di bioskop indo?,kimetsu no yaiba tayang bioskop indo
Sebenernya abidzar kurang cocok meranin kang tae moo. Vibesnya lebih cocok sama karakter anak sekolahan bad boy di film² remaja. <br><br>Ini gw kasih request kalo sewaktu² a business proposal mau tayang ulang tapi aktor utamanya diganti :<br>1. Reza Rahadian<br>2. Abimana Aryasatya<br>3. Fachri Albar<br>4. Arya Saloka<br>5. Morgan Oey<br>6. Herjunot Ali<br>7. Nicholas Saputra<br>8. Adipati Dolken<br>9. Darius Sinathrya<br>10. Mike Lewis<br>11. Nino Fernandez<br><br>Vibes mereka beneran muka² cogan mateng dan berduit😂😂😂😂<br><br>Yang tau silahkan tambahin😂😂😂😂,sebenernya cocok meranin kang tae moo vibesnya cocok anak sekolahan bad boy remaja kasih request a business proposal tayang ulang utamanya diganti 1 reza rahadian2 abimana aryasatya3 fachri albar4 arya saloka5 morgan oey6 herjunot ali7 nicholas saputra8 adipati dolken9 darius sinathrya10 mike lewis11 nino fernandezvibes beneran muka cogan mateng berduityang silahkan tambahin
"salah yang casting ngga sih haha, kok bisa? kasihan aktor yang lainnya.",salah casting ngga haha kasihan
