Comment,Cleaned_Comment
Buah jatuh jauh banget dari pohon nya. Mungkin ini buah nya dari pohon benalu di pohon induknya 😂😂😂😂,buah jatuh pohon buah pohon benalu pohon induknya
Gue belum nonton filmnya dan gak ada niatan mau nonton juga karena bingung ceritanya beneran baguss apa engga dengan 16 episode dibikin jadi 2 jam doang? Itu aja udh bikin ragu dan terlalu maksain menurut gue. Ditambah aktor yang meranin mlh  bilang gak nonton dramanya gak baca webtoonnya bilang mau bikin karakter sendiri lahhh kocakkk ini lgi remake film cok,filmnya niatan bingung ceritanya beneran baguss engga 16 episode dibikin 2 jam doang ragu maksain ditambah meranin mlh dramanya baca webtoonnya kocak lgi remake cok
Alay bangett,alay bangett
MANH ENAK ABIJAR DEKIL PRINDAPAN WKWK,manh enak abijar dekil prindapan wkwk
"Njir udah item, jelek, kePDan wkwk, mnding yg ori gk sih",njir item jelek kepdan wkwk mnding ori
Intinya si abidzar SOMOBONG merasa diri paling bis acting jd ga perlu mendalami karakter ga perlu baca webtoon nya ga perlu nonton drakor nya.. Nyieun film sorangan we atuh abidzar bisa teu?,intinya somobong bis acting jd mendalami baca webtoon drakor nyieun sorangan we atuh teu
"Ang ang ang, padahal dia sombong begitu tidak membuat filmnya naik",ang ang ang sombong filmnya
😂😂😂😂 artis pendatang baru belagu,artis pendatang belagu
cat lovers juga gak boleh,cat lovers
Lebih ke Hamalovers,hamalovers
"12 episode jadi film kurang dari 2 jam? Ini yg buat udah gila atau gimana? Ngebuat 6 episode jadi film 2 jam aja udah agak susah untuk K-Drama, karena 1 episode aja udah 1 jam-an. Kalau mau buat film dari 12 episode K-Drama, itu benar-benar harus research yg mendalam dan tulis ulang ceritanya agar sesuai dengan cerita aslinya",12 episode 2 jam gila gimana ngebuat 6 episode 2 jam susah kdrama 1 episode 1 jaman 12 episode kdrama benarbenar research mendalam tulis ulang ceritanya sesuai cerita aslinya
"Ternyata Indonesia bisa juga Cancel Culture artis yang bermasalah, kenapa tidak dari dulu dilakukan padahal banyak lh Artis yang problematik dan dipertontonkan kepada kita. Hanya di indinesia mantan narapidana balik jadi artis malah makin sukses.",indonesia cancel culture artis bermasalah lh artis problematik dipertontonkan indinesia mantan narapidana artis sukses
"Karma kesombongan.<br>Maaf tpi mnurut w lu orangnya juga GK jauh beda dri abidzar dari cara penyampaian hingga pendapat2 lu, saran aja hati2 sja dalm berkata/bersikap mungkin blum sekarng tpi suatu saat akan terjadi kepada lu jika lu tidk hati2.",karma kesombonganmaaf tpi mnurut w orangnya beda dri penyampaian pendapat2 saran hati2 sja dalm berkatabersikap blum sekarng tpi tidk hati2
"Ga hanya abidzar, semuanya perasaan.",perasaan
"yg kasian sih produsernya. boro boro balik modal inimah. bang bang mudah2an jd pelajaran, yg rugi tyta orang lain kan kasian",kasian produsernya boro boro modal inimah mudah2an jd pelajaran rugi tyta kasian
Tau film ngak sih😂😂 film kan untuk di tonton eh dia malah bilang ngak usah di tonton juga gpp..😂😂😂,ngak tonton eh ngak tonton gpp
Kelar karir abdizar dientertaiment 😅,kelar karir abdizar dientertaiment
wibu itu gk militan kok. kecuali wibunya onepiece,wibu militan kecuali wibunya onepiece
Mantap  bang!!! 😂,mantap
"Gilak yang di Holiwood aja buat lebih mendalami peran mereka beli komik dan tanya komik mana aja yg bisa membantu biar lebih tau perannya, lah ini cuman harus nonton serinya aja trus webtoon juga bersliweran malah pada males ckckckkc emang belom siap go internasional org2 di negara kita 😂😂😂😂",gilak holiwood mendalami peran beli komik komik membantu biar perannya cuman serinya trus webtoon bersliweran males ckckckkc belom go internasional org2 negara
"bodo amat,,, gw ga suka nonton bioskop,,,",bodo suka bioskop
Gak berlaku buat tretan muslim,berlaku tretan muslim
Wowwkwowkwkww gak belajar dari si rachel zagler snow white si abizar goblok,wowwkwowkwkww belajar rachel zagler snow white abizar goblok
"entah kenapa pas abangnya ngurutin komunitas yang tidak boleh di buat marah aku setuju banget:<br>1. bola<br>2. wibu dan kpop/kdrama lover<br>karena yang nomor dua (yang di indoneasia) bakal berhenti di ngehujat, nge cancel, dan nge caci maki aja. kalau yang nomor 1 itu bukan cuma nge hujat, nge caci maki, nge cancel doang, tapi bakal sampai di cariin itu orang. Semoga si aktor bisa benar-benar berbenah diri biar ngk ke ulang lagi, takutnya konsekuensi berikutnya lebih parah.",pas abangnya ngurutin komunitas marah setuju banget1 bola2 wibu kpopkdrama loverkarena nomor indoneasia berhenti ngehujat nge cancel nge caci maki nomor 1 nge hujat nge caci maki nge cancel doang cariin semoga benarbenar berbenah biar ngk ulang takutnya konsekuensi parah
Semoga Abidzar mendapatkan jln rezeki yg lbh baik...aamiin,semoga jln rezeki lbh baikaamiin
BANG BUSET!!! EDITANNYA BAGUS BANGET! NAIKIN GAJI EDITOR!! 😭😭😭,buset editannya bagus naikin gaji editor
Opening nya gelo wkwk,opening gelo wkwk
Saat nya numpang tenar ....manfaat kan keTOLOLan fans K drama 🤣,numpang tenar manfaat ketololan k drama
Ya rumah produksi harus lebih jeli lagi sih pilih cast,rumah produksi jeli pilih cast
Career ending statement ga sih ini ?😂,career ending statement
keyboard nya pressplay ya bang,keyboard pressplay
<b>bikin film anak motor aja trus nabrak pohon udah end.</b>,anak motor trus nabrak pohon end
"Anime live action cerita atau karakternya melenceng dikit aja di goreng, apalagi kalo aktornya bebal kaya Abizar satu ini, abis lah, mana lawannya kpopers lagi 😂",anime live action cerita karakternya melenceng dikit goreng aktornya bebal kaya abizar abis lawannya kpopers
6.900 udh kayak angka ngewe😏🤣,6900 kayak angka ngewe
"sebenernya 4 rules itu gak perlu ya, yang perlu itu appreciate karya yang sudah ada. gak ada masalah mau bikin vibe atau konsep baru, tapi gaperlu lah malah ngatain orang &quot;fanatik&quot; diatas karya yang emang bagus banget. dan abidzar pun gak mau loh baca webtoon nya dulu",sebenernya 4 rules appreciate karya vibe konsep gaperlu ngatain fanatik diatas karya bagus loh baca webtoon
"lah emang fans KPOP terlalu fanatik, padahal yg dikatakan Abizar emang benarr... mereka pikir Korea sebagus itu, idih mau muntah...",kpop fanatik abizar benarr pikir korea sebagus idih muntah
"😂😂 dah lah produser ama sutradara kena imbasnya nya... mending cepat2 ganti aktor baru liat gimana meledaknya itu film ketika ganti AKTOR..<a href=""http://www.youtube.com/results?search_query=%23bisnisproposal"">#bisnisproposal</a><a href=""http://www.youtube.com/results?search_query=%23md"">#md</a><a href=""http://www.youtube.com/results?search_query=%23drakor"">#drakor</a>",dah produser ama sutradara kena imbasnya mending cepat2 ganti liat gimana meledaknya ganti aktorbisnisproposalmddrakor
"Gw gk pernah nonton K-Drama Jadi Gw bagian yang Bengong dalam Masalah ini, Karena toh gw gk tau Film asli nya pun😅",kdrama bengong asli
"Berkebalikan dengan henry cavil saat memerankan geralt, dia meriset bahkan membaca sumber aslinya sampai selesai,<br><br>Minimal baca webtoonnya lah sampai di episode yang akan di adaptasi syukur kalo sampai episode terbaru",berkebalikan henry cavil memerankan geralt meriset membaca sumber aslinya selesaiminimal baca webtoonnya episode adaptasi syukur episode terbaru
"Tanpa Abidzar ngmg ky gt jg ak ga bkal nton film dy, krn gmn ya mnrtku tampang dy tuh ga mnjual bt jd aktor😅",ngmg ky gt jg ak bkal nton dy krn gmn mnrtku tampang dy tuh mnjual bt jd
Kalo org yg jadi artis dimulai dari 0 dia akan tau bagaimana bersikap dan menghargai para fans dan penonton nya. Tapi si abidzar ini artis dadakan terkenal hanya krn mendiang bapaknya yg banyak disukai orang. Kalo gak ad bapaknya dia hanyalah masyarakat biasa skrng.,org artis 0 bersikap menghargai penonton artis dadakan terkenal krn mendiang bapaknya disukai ad bapaknya masyarakat skrng
"Trs lu mau nyalahin bpk nya gt?  Kan di sini yg slah abidzar nya sndiri krn udh terlanjur jadi star sindrom, trs kan  dia sendiri yg bawa bawa nama bpk nya jg sih, klo gue jdi bpk nya mungkin udh kecewa sama anak nya sendiri, mungkin klo umi Pipik emang beda sendiri krn lebih pro ke anaknya",trs nyalahin bpk gt slah sndiri krn terlanjur star sindrom trs bawa bawa nama bpk jg jdi bpk kecewa anak umi pipik beda krn pro anaknya
bro berpikir dia bintang,bro berpikir bintang
Gw pengen tau pendapat 6900 orang yg nonton tuh film,pengen pendapat 6900 tuh
"Secara idealisme abizar bener, tapi secara profesionalisme target pasar abizar salah 😂<br>Satu satunya tantangan idealisme adalah mental. Untuk merubah sesuatu emang berat, tapi kita harus sadar apa yang ingin kita ubah ❤",idealisme abizar bener profesionalisme target pasar abizar salah satunya tantangan idealisme mental merubah berat sadar ubah
Netflix : Terima kasih abidzar atas jasamu😊,netflix terima kasih jasamu
"Setiap mau buka bisnis yang dipikirin dahulu supaya bisnisnya lancar ya target pasarnya dulu, lu udah nentuin target pasarnya eh lu malah ngatain target pasarnya yang jelek&quot;, yauda deh kena bijih nya wkkw",buka bisnis dipikirin bisnisnya lancar target pasarnya nentuin target pasarnya eh ngatain target pasarnya jelek yauda deh kena bijih wkkw
"pdhl si jable ngemeng juga lah malah si item yg sering d&#39;sebut2,, aneh emang😮",pdhl jable ngemeng item dsebut2 aneh
"Udah tau Konoha mah baperan , apalagi Kpopers dah alay baperan awkwk najisx",konoha mah baperan kpopers dah alay baperan awkwk najisx
Beda bgt dia sama Bapak nya😢,beda
Andai aja klo pemeran utamanya vino g bastian atau eza gionino  mungkin saja bisa lebih menarik,andai pemeran utamanya vino g bastian eza gionino menarik
"Jangankan pemeran yg ngomong gtu, produser nya aja yg dirasa bikin filmnya agak lain dari original nya juga bakalan di caci maki, apalagi ngomong gtu... Hadeh panteeeeees rating 1/10",pemeran ngomong gtu produser dirasa filmnya original caci maki ngomong gtu hadeh pantes rating 110
Ngeri sih ini..,ngeri
Produser nya pusing gak ya modal nya gak balik? 😂😂,produser pusing modal
Kesalahan Fatal nye beliau nantang Fans nya untuk ga nonton Film nya,kesalahan fatal nye beliau nantang
"Pemilihan aril tatum juga salah menurut saya, perbedaan umur yang terlalu jauh membuat 2 karakter utamanya gak ada kemistri.",pemilihan aril tatum salah perbedaan umur 2 utamanya kemistri
Gua pribadi benci tingkah arogan nya. Maka nya gua gak nonton. Tapi gua benci bange k-pop dan drama. Mau korea atau pun indonesia. Tetap gua benci.,pribadi benci tingkah arogan benci bange kpop drama korea indonesia benci
"Kalau terkait korea, jangan lupa, waktu itu McD pernah promo produk kolaborasi dengan BTS, saking banyak pendukungnya, itu ojol-ojol pada numpuk di resto2 McD dimanapun, sampai polisi dan satpol PP turun ke lapangan buat pengamanan. Yah itulah hebatnya efek dari keberhasilan budaya dari sebuah negara yang bernama Korea.",terkait korea lupa mcd promo produk kolaborasi bts saking pendukungnya ojolojol numpuk resto2 mcd dimanapun polisi satpol pp turun lapangan pengamanan yah hebatnya efek keberhasilan budaya negara bernama korea
Gini amat umi ppk punya anak.,gini umi ppk anak
aktor kek gini ngerugiin,kek gini ngerugiin
"Sorry sorry ya gua ngelihat perfilman indonesia seperti tidak kreatif tidak bisa membuat hal yang baru gitu,contoh seperti film ini yang di paksakan dari 12eps di buat jadi movie",sorry sorry ngelihat perfilman indonesia kreatif gitucontoh paksakan 12eps movie
+ sama cat lovers juga bang,cat lovers
duta dark jokes indonesia duo cokmus aja jujur bgt mereka ga berani senggol 3 itu 😂😂,duta dark jokes indonesia duo cokmus jujur berani senggol 3
Pinter banget ngomong nya 😂,pinter ngomong
"Bagus lah Indonesia udh nerapin cancel culture (kaya Korea), biar orang2 yg trouble Maker g d kasih panggung lagi",bagus indonesia nerapin cancel culture kaya korea biar orang2 trouble maker g d kasih panggung
"Bukan si abi aja semua blunder se falcon falconnya, gak paham film yg dibuat, dibuat asal jadi, dan ini bukan diwebtoon tpi kakaopage, kalo komiknya namanya office blind date diadopt ke drakor jdi bussiness proposal, sutradaranya aja blunder enggakk paham sm film yg dia buat",abi blunder falcon falconnya paham diwebtoon tpi kakaopage komiknya namanya office blind date diadopt drakor jdi bussiness proposal sutradaranya blunder enggakk paham sm
Dari casing aja sudah jatuh ... <br>Tau kan pecinta korea .. <br>Pecinta visual .. <br><br><br>Malah di tambah kelakuannya 😂😂😂,casing jatuh pecinta korea pecinta visual kelakuannya
Mendingan filmnya dibajak aja biar tambah rugi 😂😂😂,mendingan filmnya dibajak biar rugi
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=107"">1:47</a> the amazing bulk menangis karena ratingnya kalah kecil",147 the amazing bulk menangis ratingnya kalah
"Banyak jg 6900, Yg nonton kemungkinan : jamaah nya alm ustd jefry, fans nya aril tatum , sama kritikus film, sisanya crew bioskop yg dipaksa nonton",jg 6900 jamaah alm ustd jefry aril tatum kritikus sisanya crew bioskop dipaksa
Semua rulesnya masukkkkkk bgt bang 😂,rulesnya masuk
Betul bang😂😂,
Abizar harusnya kena sanksi ga sih dari agensi atau ph tempat dia bernaung?,abizar kena sanksi agensi ph bernaung
Ngeributin apasi klean rame amat perasaan gw gatel jadi pengen komen 😂<br>Setelah gw ikutin alurnya ternyata sampah.,ngeributin apasi klean rame perasaan gatel pengen komen ikutin alurnya sampah
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1187"">19:47</a>ini yg saya yakin akan trjdi krna adaptasi cerita yg pnjng kesebuah film atau series pendek itu tdk mudah, krna harus tepat pengmblan ceritanya, harus bsa pas dmna smua poin bsa msk tpi tdk sprti tdi itu ditmpel-tmpel saja. Ini bukan trjdi di film ini saja ya krna bnyk film d Hollywood jga sprti itu koq, krna mng tdk mudah mengadptsi sebuah cerita yg pnjng ke film atau mini series.",1947ini trjdi krna adaptasi cerita pnjng kesebuah series pendek tdk mudah krna pengmblan ceritanya bsa pas dmna smua poin bsa msk tpi tdk sprti tdi ditmpeltmpel trjdi krna bnyk d hollywood jga sprti koq krna mng tdk mudah mengadptsi cerita pnjng mini series
Blunder film ini lebih parah dari film adaptasi &quot;Dragon Ball Evolution&quot;😂😂,blunder parah adaptasi dragon ball evolution
Jgn remehkan mak mak sen kiri belok kanan.,jgn remehkan mak mak sen kiri belok kanan
ini musik pas opening lagu apa ya ?,musik pas opening lagu
"Bukan KPoper atau gmn2, tapi pas denger statement dari aktornya ga butuh ditonton oh ya udah. Ngapain juga di tonton",kpoper gmn2 pas denger statement aktornya butuh ditonton oh ngapain tonton
emosi banget ya bang wkwkwk,emosi wkwkwk
"Awalnya gw bingung kenapa kpoper pada ngamuk, pas lu bilang andaikan itu AOT dan si aktor bilang mau bilang bikin karakter sendiri.. Dan disitu gw langsung &quot;wah nih anak cari gara-gara  sih&quot; 😂😂",bingung kpoper ngamuk pas andaikan aot disitu langsung nih anak cari garagara
Arogan kalau bukan karna nama besar bapaknya orang ini tidak yang tau arogan,arogan karna nama bapaknya arogan
Yaaappp cancle aja...<br>Gue jengkel bettt ma statement nya !!!<br>1/10 puaaass bettt gueee😂,yap cancle ajague jengkel bet ma statement 110 puass bet
"Kalo bakat lu cuman di atas rata2 tapi gak wow banget, rendah hati sangat diperlukan.",bakat cuman rata2 wow rendah hati
Bang minum dlu bang.... 😅,minum dlu
Anak kmaren sore banyak tingkah aktor papan atas aja ga pernah bilang kek gitu . Star syndrome tolol emng .,anak kmaren sore tingkah papan kek gitu star syndrome tolol emng
"Saat lu nantang fans k-drama, sama aja lu gali liang kubur lu sendiri. 🤪😂",nantang kdrama gali liang kubur
hehey,hehey
yang penting..JANGAN SOK JAGO...SOMBONG,pentingjangan sok jagosombong
Kasian produser ny anjir gegara aktor sok edgy😂,kasian produser ny anjir gegara sok edgy
Ini orang dari bocah sampai sekarang sangat songong,bocah songong
Wahahahahahhahahahahahahahahahahahaahhahahahahahahahahahahhahahahahahahh kesian udah dongok sok sok buat filem kek gitu tapi gak nonton kan dongok ya😂,wahahahahahhahahahahahahahahahahahaahhahahahahahahahahahahhahahahahahahh kesian dongok sok sok filem kek gitu dongok
Sumpah gw seneng banget liat lu marah2 wkwkwk,sumpah seneng liat marah2 wkwkwk
Saya sebenarnya penasaran Saya ini bukan penggemar k- drama yang kuat banget tapi saya juga sesekali nonton k-drama gitu ya. Dan sudah cukup lumayan banyak film atau drama Korea yang diadaptasi di Indonesia tapi yang jadi penasaran saya Apa yang dipikirkan oleh pihak Falcon waktu nawarin atau casting Abidzar sebelumnya?😂,penasaran penggemar k drama kuat kdrama gitu lumayan drama korea diadaptasi indonesia penasaran dipikirkan falcon nawarin casting
Puas banget gw kalo udah dibahas di Ngelantur 😂🎉🎉,puas dibahas ngelantur
"Lagian kalo buat drama sih emang jauh banget bedanya drama indo sama korea... Bukannya niat nyepong korea, tapi emang fakta banget, kebanyakan orang kita males nonton dan bahkan ada yg benci drakor cuman gara2 bahasanya gk bahasa indonesia lah, ada juga yg lebih parah dan aneh yakni orang2 yg merasa nonton drakor itu kyk liat saingannya, kyk nanti orang di dramanya cantik atau ganteng banget gitu auto dah ngerasa dirinya tersaingi padahal gk ada salahnya cuman nikmatin filmnya... Entah ni orang kepedean cakep makanya liat yg lebih cakep udah kyk orang kalah saing cuy😂😂😂😂",drama bedanya drama indo korea niat nyepong korea fakta kebanyakan males benci drakor cuman gara2 bahasanya bahasa indonesia parah aneh orang2 drakor kyk liat saingannya kyk dramanya cantik ganteng gitu auto dah ngerasa tersaingi salahnya cuman nikmatin filmnya ni kepedean cakep liat cakep kyk kalah saing cuy
"Sejujurnya, netizen indo itu harusnya contoh knetz dalam kasus ini,bukan maksud membandingkan,tp ini bener² bisa ngefilter tontonan di tv dan di media sosial indo. Apa itu?? Yaitu CANCEL CULTURE. <br><br>Ada plus minusnya sbenernya <br><br>Kalo di kalangan kpopers dan kdrama ini udah umum, dengan cancel culture, artis ga akan bisa ngomong macem macem di depan kamera, ga berani bertingkah ga sopan bahkan takut. Karna peran netizen sangat gede disini. Dengan gitu, bisa meminimalisir kalo ada problem antar artis, senggol sana sini,atau drama artis artis itu bakal lebih sdikit dengan nerapin ini. <br><br>Minusnya yaa paling rugi di artisnya yg ga laku. <br><br>Kalo mau bgini sbenernya gampang guys, tinggal kalo ada artis problematik jangan dikasih panggung, kalo ada yg bikin video ttg si artis yg problem itu gausah di tonton. dengan gitu pihak produser/wartawan/ pihak acaranya ga akan mau ngundang si problem ini. Dan itu berdampak bagus karna dengan gitu smua masalah artis yg ga penting bisa di tangani asal kita nerapin cancel culture. <br><br><br>Gw pribadi berharap netizen indo bisa nerapin cancel culture mulai sekarang dengan adanya kasus male lead remake Drakor ini. <br><br>Sekian terimakasih",sejujurnya netizen indo contoh knetz inibukan maksud membandingkantp bener ngefilter tontonan tv media sosial indo cancel culture plus minusnya sbenernya kalangan kpopers kdrama cancel culture artis ngomong macem macem kamera berani bertingkah sopan takut karna peran netizen gede gitu meminimalisir problem artis senggol siniatau drama artis artis sdikit nerapin minusnya yaa rugi artisnya laku bgini sbenernya gampang guys tinggal artis problematik dikasih panggung video ttg artis problem gausah tonton gitu produserwartawan acaranya ngundang problem berdampak bagus karna gitu smua artis tangani nerapin cancel culture pribadi berharap netizen indo nerapin cancel culture male lead remake drakor sekian terimakasih
"tapi sayangnya yang ngasih panggung masih lebih banyak dari house productionnya, dan dirasa juga mereka tidak terlalu mementingkan kualitas punya pengen bisnisnya doang.. jadi walaupun kita kitanya coba bakal tetep sulit karna circlenya tidak diputar dari berbagai pihak cuman dari konsumen",sayangnya ngasih panggung house productionnya dirasa mementingkan kualitas pengen bisnisnya doang kitanya coba tetep sulit karna circlenya diputar cuman konsumen
"Setuju kaaa, para para artis pansos pake prahara jg jgn dikasi panggung, krn emang itu yg mereka cari, yg penting tenar dl wlwpun prahara, ga mendidik banget",setuju ka artis pansos pake prahara jg jgn dikasi panggung krn cari tenar dl wlwpun prahara mendidik
​@@dinieoct bagus kok filmnya sama aktor nya keren banget menurutku rating dari aku pribadi 9 per 10 <br>attack on Titan 😁,dinieoct bagus filmnya keren menurutku rating pribadi 9 10 attack on titan
"Masalahnya di indonesia, artis yg kena cancel culture juga klo di hire ttp bakal rame, walopun rame krn hujatan bukan pujian. Tp production house ga peduli itu, yg penting rame.",indonesia artis kena cancel culture hire ttp rame walopun rame krn hujatan pujian tp production house peduli rame
kocak..cancel culture gga akan ada di indo..orang indo itu mental baja dan muka badak...dan netizen itu pelupa dan pemaaf...ketika 4 hal tersebut masuk di budaya akar rumput..moral industri itu ga akan jalan karena dipadukan dengan kapitalis empowerd...selama masi untung sang penguasa kapitalis akan terus memerah dan memeras sampe habis potensi nya...yang terjadi pada abizar itu bukan cancel reform...tapi murni marketing nya yg udah kalah mental..marketing pelem nya uda nyerah duluan...alias abizar udah di ditinggal sendirian oleh perusahaan sebelum perang mulai..,kocakcancel culture gga indoorang indo mental baja muka badakdan netizen pelupa pemaafketika 4 masuk budaya akar rumputmoral industri jalan dipadukan kapitalis empowerdselama masi untung sang penguasa kapitalis memerah memeras sampe habis potensi nyayang abizar cancel reformtapi murni marketing kalah mentalmarketing pelem uda nyerah duluanalias abizar ditinggal perusahaan perang
oi bang pelan2 dong narasinya jangan mledak2 gitu... narasinya santai aja biar gampang disimak 😩,oi pelan2 narasinya mledak2 gitu narasinya santai biar gampang disimak
Bahkan penonton video ini lebih banyak daripada Business proposal,penonton video business proposal
Yah namanya manusia pasti ada salah. Nanti juga klo ada yg penasaran pasti ada yg nonton. Yg benci yg goreng&quot; dia insyaallah jadi pahal atas kesalahan nya yg dia buat,yah namanya manusia salah penasaran benci goreng insyaallah pahal kesalahan
"Abidzar lu coba mikir pake IQ78 lu ya, gini..<br>Misal Palkon buat film Naruto, trus lu jd pemeran Naruto nya.. Trus ktika ditanya lu ga liat karakter Naruto sperti apa, gimana sosok itu karena km pingin ciptain Naruto versi lu sendiri yg sesuai kultur lndonesia, itu sama dg filmnya judulnya Naruto, tp jadinya Wiro Sableng yg sesuai kultur lndonesia wkwkwkwk, kocak lu Dzar.. Dzar..",coba mikir pake iq78 ginimisal palkon naruto trus jd pemeran naruto trus ktika liat naruto sperti gimana sosok km pingin ciptain naruto versi sesuai kultur lndonesia dg filmnya judulnya naruto tp wiro sableng sesuai kultur lndonesia wkwkwkwk kocak dzar dzar
"kasus nya ada kemiripan dengan rachel zegler yang meranin snow white nya disney, sebagai pemeran utama, mulut nya justru jadi benalu untuk movienya itu sendiri, sampe2 trailer snow white nya sekarang dapet dislike sampe 1 juta orang.",kemiripan rachel zegler meranin snow white disney pemeran utama mulut benalu movienya sampe2 trailer snow white dapet dislike sampe 1 juta
terlalu pede sampe marketnya sendiri dijadiin enemy 🤣,pede sampe marketnya dijadiin enemy
"Dia ga profesional, angkuh, asbun kemana2 :)",profesional angkuh asbun kemana2
"Padahal aktornya sdh tahu kalo fans nya fanatik udh bilang juga tpi ga ngerti fanatik itu apa fanatik ya fans berat cinta dengan karakternya knp lu pengen ubah kocak emang paling ga jngan bilang² lah dimedia, sebenarnya menurutku ini msih bisa diterima seandainya belum ada adaptasinya masalah nya udh ada dari korea lagi susah sih.",aktornya sdh fanatik tpi ngerti fanatik fanatik berat cinta karakternya knp pengen ubah kocak jngan dimedia menurutku msih diterima seandainya adaptasinya korea susah
kalo aku sih mikirnya ini tuh strategi marketing aja. biar banyak yg kepo sama film ini. karna kontroversi nya. tapi cross of the line kayaknya. <br><br>btw aku juga k-drama lovers. aku pun suka bgt sama drama ini. sampe rewatch berkali-kali. memang awalnya akupun merasa Abidzar kurang cocok meranin. tapi aku udh ada niat buat nonton biar aku engga nilai orang dari cover nya aja. beneran loh mau nonton. ehhh malah makin2 kontroversi nya... jadi males dah nontonnya..<br><br>Buat Abidzar :<br>semoga kamu dapat banyak pelajaran/hikmah dari semua yang terjadi. dan benar kata abangnya. 4 Rules itu ga boleh sama sekali di langgar. kedepannya berhati-hati lagi ya dalam berbicara apalagi pada awak media. Good Luck 👍🏻,mikirnya tuh strategi marketing biar kepo karna kontroversi cross of the line kayaknya btw kdrama lovers suka drama sampe rewatch berkalikali akupun cocok meranin niat biar engga nilai cover beneran loh eh makin2 kontroversi males dah nontonnyabuat semoga pelajaranhikmah abangnya 4 rules langgar kedepannya berhatihati berbicara awak media good luck
"Anime aja walaupun 12 - 16 episode kerasa kalo ada yang di potong, apalagi film kurang dari 2 jam &amp; modal pemahaman masing2🗿.",anime 12 16 episode kerasa potong 2 jam modal pemahaman masing2
Tim marketing nangis,tim marketing nangis
"Aku bukan penonton business proposal ya, aku pecinta series kdrama, tp untuk yg romance jarang. Tapi kebingungan aku cuma 1, bukan soal fisik, tapi attitude. Prcaya gasi sbnrnya fans ga trlalu mmpermasalah kan dia ga nntn series nya, TAPI DIA NYEBUT FANATIK (dlm konotasi negatif), kedua, DIA NANTANGIN. yahhh begitulah. Hancur banget sih pokoknya. Feels ga dapet. Itulah knapa harus nonton versi asli nya ya buat mendalami peran ga sih?",penonton business proposal pecinta series kdrama tp romance jarang kebingungan 1 fisik attitude prcaya gasi sbnrnya trlalu mmpermasalah nntn series nyebut fanatik dlm konotasi negatif nantangin yah hancur pokoknya feels dapet knapa versi asli mendalami peran
si Timothy kayaknya ga suka ame abizar,timothy kayaknya suka ame abizar
Tumben beneran di cancle 😂,tumben beneran cancle
"berkat beliau cast2 yang lain yang gak ikut2 an tolol jadi kena batunya, cost produksi film &amp; hire talent sekian ratus juta kebuang percuma  berkat statement beliau sitolol nan edgy ini",berkat beliau cast2 ikut2 an tolol kena batunya cost produksi hire talent sekian ratus juta kebuang berkat statement beliau sitolol nan edgy
"22 menit full ngamuk😂 wajar sih, Kdrama Lovers di ajak perang gimana gak meledak, belum lagi studio dan crew yang dirugikan akibat gak ada nya pendapatan dari film yang kalau pun ada juga sedikit😂.",22 menit full ngamuk wajar kdrama lovers ajak perang gimana meledak studio crew dirugikan akibat pendapatan
"Punya ibu bapak doang islami, punya pendidikan tapi SDM rendah bgt",doang islami pendidikan sdm rendah
Bro berfikir dia MC di dunia 🗿,bro berfikir mc dunia
"Aq pecinta Webtoon...<br>Versi drakor nya lumayan sih, ktm di hayalan gue sama versi real kaya sejalan aja .<br><br>Tp tetiba abidzar merusak hayalan gue. 🥰🥰",aq pecinta webtoonversi drakor lumayan ktm hayalan versi real kaya sejalan tp tetiba merusak hayalan
"Saya aja udah nonton &quot;business proposal seriesnya&quot; karna bagus cerita dan pemeran nya, padahal bukan fanatik drakor, itu orang gaya2 an mau meranin film orang tapi ga mau belajar dari film asli nya, kalau film baru boleh lah tapi ini film adaptasi, parah sombongnya.",business proposal seriesnya karna bagus cerita pemeran fanatik drakor gaya2 an meranin belajar asli adaptasi parah sombongnya
😂 cuih nazis ktot,cuih nazis ktot
Setuju banget sih &quot;a business proposal&quot; ini mencerminkan 2 pasangan atau 4 karakter yang memiliki karakter masing-masing yang ofcourse kuat setiap karakternya. Dan akhirnya malah jadi krusial ketika 12 episode dijadikan kurang dari 2 jam dan hanya di fokuskan pada 1 pasangan saja.,setuju a business proposal mencerminkan 2 pasangan 4 memiliki masingmasing ofcourse kuat karakternya krusial 12 episode dijadikan 2 jam fokuskan 1 pasangan
"Finally gue tau konteks yg bikin si abizar ini dihujat sana sini. Kemarin² lewat mulu di beranda gue tapi gue ga ngerti dia habis nunjukin bad attitude yg kek gimana wkwk intinya, semua yg ada di keoala gue udah lo wakilin semua bro. Thanks yaaaakkk ❤",finally konteks abizar dihujat kemarin mulu beranda ngerti habis nunjukin bad attitude kek gimana wkwk intinya keoala lo wakilin bro thanks yak
K-pops tai,kpops tai
Intinya jangan musuhin audiens yang jadi target jualan lu😂😂😂😂😂,intinya musuhin audiens target jualan
aku tidak termauk ketiga fanatik yg menghambakan manusiaa,termauk ketiga fanatik menghambakan manusiaa
"Tapi kami mengerjakan dengan 100 kru dan 20 aktor&amp;aktris ,termasuk aktor senior seperti pak de indro dll........",100 kru 20 aktoraktris senior de indro dll
